,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,Port Alfred,-33.59,26.89,61.81,73,11,20.96,ZA,1603165169
27,Hermanus,-34.42,19.23,57.0,88,31,3.0,ZA,1603165179
28,Ocean City,39.28,-74.57,64.0,93,75,5.82,US,1603165179
29,Vostok,46.49,135.88,47.03,51,0,4.41,RU,1603165169
30,Butaritari,3.07,172.79,82.53,76,100,11.36,KI,1603165180
31,Oodweyne,9.41,45.06,73.24,29,0,3.96,SO,1603165180
32,San Patricio,28.02,-97.52,79.0,88,40,12.75,US,1603165181
33,Ilulissat,69.22,-51.1,37.4,74,100,6.93,GL,1603165181
34,Provideniya,64.38,-173.3,39.2,80,75,2.24,RU,1603165152
35,Ericeira,38.96,-9.42,64.0,95,100,3.0,PT,1603165182
36,Mahébourg,-20.41,57.7,75.2,78,40,11.41,MU,1603165182
37,Itarema,-2.92,-39.92,78.64,80,15,17.81,BR,1603165182
38,Carnarvon,-24.87,113.63,75.2,60,72,18.34,AU,1603165182
39,Nuuk,64.18,-51.72,44.6,48,100,28.86,GL,1603165182
40,Cidreira,-30.18,-50.21,66.69,93,1,12.17,BR,1603165184
41,Beroroha,-21.67,45.17,77.95,56,0,4.59,MG,1603165184
42,Airai,-8.93,125.41,82.18,33,0,5.53,TL,1603165158
43,Puerto Quijarro,-17.78,-57.77,74.1,92,99,2.62,BO,1603165184
44,Bonfim,3.08,-59.95,80.06,68,100,1.23,BR,1603165184
45,Beringovskiy,63.05,179.32,39.47,93,96,11.77,RU,1603165184
46,Mahajanga,-15.72,46.32,73.4,69,20,5.82,MG,1603165185
47,Hilo,19.73,-155.09,80.6,65,1,9.17,US,1603165185
48,Cape Town,-33.93,18.42,57.99,93,75,2.24,ZA,1603165125
49,Castro,-24.79,-50.01,63.3,91,66,9.4,BR,1603165185
50,Katsuura,35.13,140.3,66.99,53,78,1.99,JP,1603165185
51,Mar del Plata,-38.0,-57.56,53.01,62,5,9.17,AR,1603165002
52,New Norfolk,-42.78,147.06,70.0,47,70,1.99,AU,1603165186
53,Mahabalipuram,12.63,80.17,78.8,94,90,3.36,IN,1603165186
54,Bluff,-46.6,168.33,53.01,69,40,14.0,NZ,1603165186
55,George Town,5.41,100.34,86.0,74,20,4.7,MY,1603165067
56,Dikson,73.51,80.55,24.85,94,98,16.24,RU,1603165173
57,Manzanillo,20.34,-77.12,75.52,89,98,6.04,CU,1603165187
58,Dhidhdhoo,6.88,73.1,82.22,77,20,14.07,MV,1603165187
59,Punta Arenas,-53.15,-70.92,39.2,69,20,16.11,CL,1603165031
60,Severodvinsk,64.56,39.83,28.4,92,90,4.47,RU,1603165187
61,Bonthe,7.53,-12.51,77.4,88,95,3.53,SL,1603165188
62,La Plata,-34.92,-57.95,54.0,94,100,4.0,AR,1603165117
63,Longyearbyen,78.22,15.64,28.4,68,75,3.36,SJ,1603165188
64,Grindavik,63.84,-22.43,33.8,86,20,8.05,IS,1603165180
65,Quimper,48.0,-4.1,59.0,93,90,14.99,FR,1603165188
66,Fairbanks,64.84,-147.72,21.99,85,90,1.99,US,1603164932
67,Atuona,-9.8,-139.03,78.57,75,1,18.43,PF,1603165190
68,Mutum,-19.8,-41.44,68.56,89,100,1.7,BR,1603165190
69,Uyuni,-20.46,-66.83,50.88,47,18,12.1,BO,1603165190
70,Laas,46.62,10.7,46.0,50,5,2.24,IT,1603165178
71,Kaeo,-35.1,173.78,65.68,64,99,10.69,NZ,1603165115
72,Iwanai,42.97,140.51,59.88,45,52,9.66,JP,1603165191
73,Severo-Kuril'sk,50.68,156.12,41.36,67,90,16.84,RU,1603165191
74,Vaini,-21.2,-175.2,77.0,65,20,11.41,TO,1603165191
75,Olafsvik,64.89,-23.71,38.64,75,60,7.83,IS,1603165191
76,Viet Tri,21.3,105.43,73.4,53,100,8.05,VN,1603165192
77,Carrickfergus,54.72,-5.81,53.01,100,100,11.41,GB,1603165192
78,Khatanga,71.97,102.5,13.39,97,81,5.77,RU,1603165192
79,Hīt,33.64,42.83,71.4,24,0,7.4,IQ,1603165192
80,Isla Vista,34.41,-119.86,62.6,88,90,6.93,US,1603164983
81,Avarua,-21.21,-159.78,80.6,74,61,3.36,CK,1603165192
82,Thompson,55.74,-97.86,26.6,73,90,5.82,CA,1603165193
83,Port Elizabeth,-33.92,25.57,60.8,72,70,20.8,ZA,1603165193
84,Arlit,18.74,7.39,84.27,14,0,9.31,NE,1603165193
85,Barrow,71.29,-156.79,24.8,79,90,11.41,US,1603165193
86,Darhan,49.49,105.92,32.32,76,94,16.31,MN,1603165193
87,Soe,-9.86,124.28,89.13,32,0,9.6,ID,1603165194
88,Korla,41.76,86.15,60.33,29,0,6.26,CN,1603164900
89,Muravlenko,63.79,74.52,28.0,98,80,3.6,RU,1603165194
90,Tuktoyaktuk,69.45,-133.04,21.2,85,90,11.41,CA,1603165194
91,Evensk,61.95,159.23,37.89,83,100,14.94,RU,1603165195
92,Karatau,43.17,70.47,53.29,40,0,4.03,KZ,1603165195
93,Sørland,67.67,12.69,32.0,66,75,5.82,NO,1603165195
94,Caranavi,-15.82,-67.55,66.33,91,100,1.77,BO,1603165195
95,Pacific Grove,36.62,-121.92,60.01,93,90,4.7,US,1603165165
96,Abu Samrah,35.3,37.18,66.27,47,89,5.99,SY,1603165196
97,Raudeberg,61.99,5.14,43.0,62,100,9.6,NO,1603165196
98,Saint Paul Harbor,57.79,-152.41,42.8,60,20,8.05,US,1603165143
99,Lyubim,58.36,40.68,34.86,91,100,6.38,RU,1603165196
100,Port-Gentil,-0.72,8.78,78.51,85,82,12.12,GA,1603165139
101,College,64.86,-147.8,21.99,85,90,1.88,US,1603165197
102,Margate,51.38,1.39,55.99,74,100,7.0,GB,1603165189
103,Puerto Ayora,-0.74,-90.35,69.01,94,87,5.01,EC,1603165197
104,Hanstholm,57.12,8.62,48.0,89,100,7.0,DK,1603165197
105,East London,-33.02,27.91,60.8,77,40,17.22,ZA,1603165198
106,Jiuquan,39.74,98.52,61.25,25,0,19.73,CN,1603165198
107,Poum,-20.23,164.02,76.26,67,1,11.03,NC,1603165198
108,Albany,42.6,-73.97,57.0,80,100,8.37,US,1603164938
109,Pāndhurnā,21.6,78.52,81.63,58,12,3.76,IN,1603165199
110,Ilo,-17.64,-71.34,61.65,79,82,4.9,PE,1603164958
111,Kachug,53.96,105.88,28.94,83,96,9.24,RU,1603165199
112,Nanortalik,60.14,-45.24,35.02,91,100,3.38,GL,1603165199
113,Yulara,-25.24,130.99,86.0,42,22,11.41,AU,1603165199
114,Vila Franca do Campo,37.72,-25.43,59.0,82,40,17.22,PT,1603165199
115,Arraial do Cabo,-22.97,-42.03,72.19,83,96,21.77,BR,1603165200
116,Nantucket,41.28,-70.1,57.0,83,90,3.36,US,1603165200
117,Labuhan,-6.88,112.21,87.62,61,32,11.59,ID,1603165200
118,Vallenar,-28.57,-70.76,59.54,40,0,2.55,CL,1603165200
119,Da Lat,11.95,108.44,71.06,93,100,1.34,VN,1603165072
120,Leningradskiy,69.38,178.42,25.77,90,27,6.78,RU,1603165160
121,Sechura,-5.56,-80.82,65.07,80,41,10.49,PE,1603165201
122,Suşehri,40.16,38.09,53.1,80,100,3.36,TR,1603165201
123,Lavrentiya,65.58,-171.0,33.69,81,1,5.12,RU,1603165174
124,Saskylakh,71.92,114.08,23.27,98,87,3.91,RU,1603165201
125,Isangel,-19.55,169.27,80.6,65,90,1.12,VU,1603165202
126,Bowen,-20.02,148.23,89.6,40,75,14.99,AU,1603165202
127,Hambantota,6.12,81.12,82.4,78,20,6.93,LK,1603165202
128,Tiksi,71.69,128.87,14.86,92,100,23.73,RU,1603165202
129,Ternate,0.8,127.4,84.69,66,89,8.41,ID,1603165203
130,Ancud,-41.87,-73.82,44.01,93,75,6.93,CL,1603165179
131,Trincomalee,8.57,81.23,85.68,68,74,14.18,LK,1603165203
132,Imeni Poliny Osipenko,52.42,136.49,40.28,57,0,8.32,RU,1603165203
133,Scunthorpe,53.58,-0.65,52.0,87,100,19.46,GB,1603165203
134,Les Cayes,18.2,-73.75,77.59,81,78,3.13,HT,1603165204
135,Hithadhoo,-0.6,73.08,82.67,78,89,12.84,MV,1603165204
136,Borovoy,55.43,86.08,32.0,80,40,11.18,RU,1603165204
137,Vrede,-27.43,29.17,64.83,47,1,5.01,ZA,1603165204
138,Lokosovo,61.13,74.82,35.01,98,100,6.91,RU,1603165204
139,Caravelas,-17.71,-39.25,71.67,86,100,2.3,BR,1603165180
140,Ponta do Sol,32.67,-17.1,66.0,90,100,5.99,PT,1603165205
141,Chui,-33.7,-53.46,63.39,85,9,14.09,UY,1603165205
142,Talnakh,69.49,88.4,12.2,85,40,4.47,RU,1603165205
143,Porto-Novo,6.5,2.6,76.87,91,96,5.1,BJ,1603165205
144,Upernavik,72.79,-56.15,33.21,91,100,6.08,GL,1603165205
145,Berlevåg,70.86,29.09,37.4,79,40,17.22,NO,1603165206
146,Fleetwood,53.93,-3.01,53.01,99,100,22.48,GB,1603165206
147,Yellowknife,62.46,-114.35,26.6,79,75,1.63,CA,1603165206
148,Kenai,60.55,-151.26,37.99,80,75,4.7,US,1603165206
149,Singaraja,-8.11,115.09,86.41,59,6,5.55,ID,1603165206
150,Pisco,-13.7,-76.22,62.6,77,0,8.05,PE,1603165206
151,Bambous Virieux,-20.34,57.76,77.0,78,40,11.41,MU,1603165207
152,Vila Velha,-20.33,-40.29,69.8,94,75,4.7,BR,1603165207
153,Faanui,-16.48,-151.75,79.41,78,31,18.84,PF,1603165158
154,Yukhnov,54.74,35.23,37.87,81,68,11.97,RU,1603165207
155,Tasiilaq,65.61,-37.64,26.6,100,86,4.7,GL,1603165202
156,Chokurdakh,70.63,147.92,16.36,98,95,5.91,RU,1603165208
157,Butembo,0.15,29.28,57.11,99,90,1.7,CD,1603165208
158,Bathsheba,13.22,-59.52,80.6,78,40,4.7,BB,1603165196
159,Nikolskoye,59.7,30.79,35.6,80,90,13.42,RU,1603165208
160,Ribeira Grande,38.52,-28.7,63.9,69,38,27.0,PT,1603165208
161,Yaan,7.38,8.57,71.83,99,85,4.21,NG,1603165209
162,Saint-Philippe,-21.36,55.77,75.2,47,35,4.7,RE,1603165172
163,São João da Barra,-21.64,-41.05,72.09,85,100,11.14,BR,1603165209
164,Dingle,11.0,122.67,80.26,87,100,3.58,PH,1603165209
165,Saint-Joseph,-21.37,55.62,75.2,47,16,4.7,RE,1603165209
166,Penzance,50.12,-5.54,57.2,100,39,18.34,GB,1603165209
167,Bethel,41.37,-73.41,53.6,93,1,3.44,US,1603165201
168,Marsá Maţrūḩ,31.35,27.25,69.8,73,49,3.98,EG,1603165210
169,Torbay,47.67,-52.73,48.99,87,20,9.17,CA,1603164914
170,Ozernovskiy,51.5,156.52,41.2,67,100,19.51,RU,1603165210
171,Batagay-Alyta,67.8,130.41,14.4,94,100,2.91,RU,1603165210
172,Cayenne,4.93,-52.33,78.8,88,42,3.36,GF,1603165201
173,Mujiayingzi,42.12,118.78,64.09,26,100,17.81,CN,1603165211
174,Vao,-22.67,167.48,73.11,77,39,19.19,NC,1603165211
175,Boa Vista,2.82,-60.67,84.2,62,100,6.93,BR,1603165211
176,Itacaré,-14.28,-39.0,73.62,90,75,4.07,BR,1603165211
177,Hay River,60.82,-115.8,19.4,73,20,2.24,CA,1603165211
178,Sitka,57.05,-135.33,42.8,87,90,8.05,US,1603165212
179,Clevelândia,-26.4,-52.47,64.13,79,0,8.86,BR,1603165212
180,Kapaa,22.08,-159.32,82.4,69,40,6.93,US,1603165212
181,Bilma,18.69,12.92,75.42,19,0,1.5,NE,1603165212
182,Adrar,20.5,-10.07,80.4,22,0,9.28,MR,1603165212
183,Olavarría,-36.89,-60.32,51.01,63,0,4.0,AR,1603165190
184,Half Moon Bay,37.46,-122.43,64.0,93,90,5.44,US,1603165199
185,Khandyga,62.67,135.6,18.55,91,99,4.54,RU,1603165213
186,Serebryansk,49.69,83.29,32.0,66,5,6.13,KZ,1603165213
187,Yelizovo,53.19,158.38,44.6,42,40,11.18,RU,1603165213
188,Sisimiut,66.94,-53.67,37.81,77,100,15.37,GL,1603165214
189,Muros,42.78,-9.06,61.0,90,100,7.0,ES,1603165214
190,Pinawa,50.15,-95.88,23.41,89,0,3.36,CA,1603165214
191,Atar,20.52,-13.05,82.58,27,0,7.34,MR,1603165214
192,Haines Junction,60.75,-137.51,28.15,82,100,2.06,CA,1603165184
193,São Filipe,14.9,-24.5,81.28,72,23,4.85,CV,1603165214
194,Blythe,33.61,-114.6,80.6,19,1,0.47,US,1603165215
195,Sistranda,63.73,8.83,33.8,71,20,11.41,NO,1603165215
196,Honningsvåg,70.98,25.97,39.2,80,75,18.34,NO,1603165215
197,Burnie,-41.07,145.92,60.01,62,5,13.0,AU,1603165215
198,Lüderitz,-26.65,15.16,57.27,68,0,22.1,NA,1603165215
199,Cabedelo,-6.98,-34.83,73.4,88,20,5.82,BR,1603165215
200,San Cristobal,7.77,-72.22,67.17,83,95,1.54,VE,1603165033
201,Bayir,37.27,28.22,53.6,87,0,2.24,TR,1603165216
202,Bodden Town,19.28,-81.25,82.0,87,93,13.94,KY,1603165216
203,Maltahöhe,-24.83,16.98,56.91,34,0,4.94,NA,1603165216
204,Narsaq,60.92,-46.05,32.0,86,98,4.7,GL,1603165217
205,Havelock,34.88,-76.9,66.99,93,90,8.05,US,1603165217
206,Nyurba,63.28,118.33,27.91,92,95,7.72,RU,1603165217
207,Rio Branco,-9.97,-67.81,75.2,94,43,2.24,BR,1603165217
208,Norman Wells,65.28,-126.83,14.0,85,40,10.29,CA,1603165217
209,Skoghall,59.32,13.47,35.6,69,100,4.7,SE,1603165217
210,Smithers,54.78,-127.17,30.2,100,75,4.7,CA,1603165194
211,Paducah,37.08,-88.6,55.99,93,90,3.31,US,1603165167
212,Te Anau,-45.42,167.72,54.14,52,5,6.13,NZ,1603165218
213,Dubai,25.26,55.3,75.2,33,0,3.36,AE,1603164948
214,Ambon City,-3.7,128.18,87.8,66,75,8.05,ID,1603165101
215,Big Bend,-26.82,31.93,74.55,53,0,3.38,SZ,1603165218
216,Departamento de Maldonado,-34.67,-54.92,57.2,87,90,20.8,UY,1603165219
217,Raja,8.46,25.68,68.65,93,23,1.88,SS,1603165219
218,Mossamedes,-15.2,12.15,66.42,84,13,3.27,AO,1603165219
219,Samarai,-10.62,150.67,81.19,81,23,8.72,PG,1603165219
220,Kutum,14.2,24.67,71.78,22,5,7.83,SD,1603165219
221,San Rafael,-34.62,-68.33,58.62,33,0,1.63,AR,1603165220
222,Matara,5.95,80.54,84.16,69,100,13.44,LK,1603165220
223,Pontal do Paraná,-25.65,-48.51,62.6,100,75,5.82,BR,1603165020
224,Cabra,37.47,-4.44,69.01,35,100,6.6,ES,1603165221
225,Ust-Maya,60.42,134.53,22.41,89,83,4.81,RU,1603165221
226,Kruisfontein,-34.0,24.73,60.01,63,53,3.0,ZA,1603165221
227,Yar-Sale,66.83,70.83,17.65,97,6,3.15,RU,1603165222
228,Kumul,42.8,93.45,56.68,34,0,2.06,CN,1603165222
229,Tuatapere,-46.13,167.68,52.0,69,71,11.99,NZ,1603165222
230,Jining,35.41,116.58,68.9,30,99,8.28,CN,1603165222
231,Comodoro Rivadavia,-45.87,-67.5,51.8,40,0,12.75,AR,1603165197
232,Bitung,1.45,125.18,87.8,62,40,6.93,ID,1603165222
233,Boddam,57.47,-1.78,50.0,93,75,5.82,GB,1603165223
234,Canindé,-4.36,-39.31,70.86,89,9,2.73,BR,1603165223
235,Kapoeta,4.77,33.59,73.72,77,1,2.39,SS,1603165223
236,Monroe,43.15,-77.68,53.01,100,90,4.43,US,1603165024
237,Tignère,7.37,12.65,63.86,73,3,0.65,CM,1603165223
238,Kafanchan,9.58,8.3,68.36,88,100,1.43,NG,1603165223
239,Liku,-0.73,119.89,88.07,56,82,6.71,ID,1603165224
240,Sfântu Gheorghe,45.87,25.78,39.0,85,0,1.57,RO,1603165224
241,Amga,60.9,131.96,22.08,92,100,6.11,RU,1603165224
242,Bilibino,68.05,166.44,17.1,93,78,3.06,RU,1603165224
243,Marquette,46.53,-87.63,33.01,58,87,1.01,US,1603165224
244,São José da Coroa Grande,-8.9,-35.15,74.8,78,25,9.31,BR,1603165225
245,Tooele,40.53,-112.3,59.0,41,1,9.17,US,1603165225
246,Tautira,-17.73,-149.15,82.4,69,20,18.34,PF,1603165183
247,Arawa,-6.21,155.54,86.22,67,47,2.68,PG,1603165225
248,Saint-Pierre,-21.34,55.48,75.2,47,0,4.7,RE,1603165225
249,Methven,-43.63,171.65,54.0,78,91,8.99,NZ,1603165225
250,Tabas,33.6,56.92,51.8,14,0,4.7,IR,1603165226
251,Padang,-0.95,100.35,88.45,53,59,6.2,ID,1603165226
252,Lenger,42.18,69.88,53.6,34,0,2.24,KZ,1603165226
253,Invermere,50.52,-116.04,32.0,94,90,1.68,CA,1603165226
254,Juneau,58.3,-134.42,39.0,86,90,12.75,US,1603165113
255,Aksarka,66.56,67.8,13.12,95,0,4.41,RU,1603165227
256,Kubachi,42.09,47.6,45.88,62,63,3.31,RU,1603165227
257,Cherskiy,68.75,161.3,22.48,94,73,3.31,RU,1603165227
258,Namikupa,-10.83,39.6,70.72,85,17,2.24,TZ,1603165227
259,Havre-St-Pierre,50.23,-63.6,42.8,100,90,5.82,CA,1603165227
260,Luanda,-8.84,13.23,75.2,88,75,5.82,AO,1603165167
261,Inírida,3.87,-67.92,75.34,87,27,0.85,CO,1603165228
262,Bengkulu,-3.8,102.27,85.46,62,100,2.93,ID,1603165228
263,Calvinia,-31.47,19.78,44.87,83,61,5.84,ZA,1603165228
264,Ovsyanka,55.96,92.55,32.0,89,100,11.18,RU,1603165228
265,Tan An,10.53,106.42,84.2,79,75,4.7,VN,1603165229
266,Emba,48.83,58.14,51.82,43,1,10.83,KZ,1603165183
267,Yarkovo,57.4,67.08,40.89,84,53,5.3,RU,1603165229
268,Saint George,37.1,-113.58,73.4,13,1,1.81,US,1603165049
269,Chengde,40.97,117.94,65.14,28,100,4.76,CN,1603165230
270,Asău,46.43,26.4,34.0,100,0,3.62,RO,1603165230
271,Luleå,65.58,22.15,26.6,86,91,10.29,SE,1603165230
272,Iqaluit,63.75,-68.51,24.8,85,90,9.17,CA,1603165230
273,Batemans Bay,-35.72,150.18,66.99,71,62,5.01,AU,1603165188
274,Bubaque,11.28,-15.83,82.33,86,45,7.27,GW,1603165230
275,Chichica,8.49,-82.16,78.01,86,100,2.24,PA,1603165231
276,Rong Kwang,18.34,100.32,75.2,88,75,4.7,TH,1603165231
277,Kautokeino,69.01,23.04,23.67,94,16,3.96,NO,1603165231
278,Lata,40.16,-8.33,63.0,94,100,1.01,PT,1603165231
279,Woodward,36.43,-99.39,45.0,70,1,5.82,US,1603165231
280,Costineşti,43.95,28.63,48.2,76,40,5.82,RO,1603165231
281,Umm Kaddadah,13.6,26.69,81.09,16,66,10.63,SD,1603165232
282,Santa Isabel,-23.32,-46.22,66.2,100,75,0.74,BR,1603165160
283,Aksu,41.12,80.26,60.33,31,0,0.78,CN,1603165232
284,Muyezerskiy,63.93,31.65,25.39,98,84,8.32,RU,1603165232
285,Saint-François,46.42,3.91,59.0,62,96,13.87,FR,1603165232
286,Tiarei,-17.53,-149.33,82.4,69,20,18.34,PF,1603165232
287,Santa Rita,-7.11,-34.98,73.4,88,20,5.82,BR,1603165077
288,Namatanai,-3.67,152.43,84.78,69,97,2.01,PG,1603165233
289,Souillac,-20.52,57.52,75.2,78,40,11.41,MU,1603165204
290,Akdağmadeni,39.66,35.88,49.5,90,100,2.71,TR,1603165233
291,Yokadouma,3.52,15.05,67.64,94,66,1.61,CM,1603165233
292,Santo Domingo,18.5,-69.99,80.01,88,40,4.7,DO,1603165060
293,Isla Mujeres,21.23,-86.73,75.2,100,20,4.7,MX,1603165234
294,Portland,45.52,-122.68,57.99,71,75,5.82,US,1603164940
295,Parkhill,43.15,-81.68,43.0,73,100,9.82,CA,1603165234
296,Catania,37.5,15.09,53.6,93,0,3.36,IT,1603165234
297,Lompoc,34.64,-120.46,57.2,93,90,5.82,US,1603165050
298,Samaná,19.21,-69.34,77.07,75,100,3.24,DO,1603165234
299,Cap Malheureux,-19.98,57.61,77.0,69,0,11.01,MU,1603165235
300,Maués,-3.38,-57.72,79.3,56,96,1.21,BR,1603165235
301,Port Lincoln,-34.73,135.87,62.35,68,81,9.13,AU,1603165235
302,Madang,-5.22,145.8,85.68,68,99,8.61,PG,1603165235
303,Belle Fourche,44.67,-103.85,30.99,100,90,7.49,US,1603165043
304,Zaoyang,32.13,112.75,66.43,48,98,3.24,CN,1603165236
305,Dunedin,-45.87,170.5,52.0,72,94,15.99,NZ,1603165236
306,Port Hedland,-20.32,118.57,87.8,58,0,13.87,AU,1603165236
307,Klaksvík,62.23,-6.59,39.2,69,16,8.05,FO,1603165236
308,Kununurra,-15.77,128.73,98.6,32,32,6.93,AU,1603165236
309,Dunmore Town,25.5,-76.65,81.0,76,100,17.54,BS,1603165237
310,Rocha,-34.48,-54.33,56.95,93,94,14.5,UY,1603165156
311,Krasnosel'kup,65.7,82.47,23.05,98,100,9.69,RU,1603165222
312,Imbituba,-28.24,-48.67,71.6,88,75,9.17,BR,1603165237
313,Fare,-16.7,-151.02,79.9,77,28,16.08,PF,1603165237
314,Catuday,16.29,119.81,84.06,73,100,13.06,PH,1603165237
315,Karoi,-16.81,29.69,64.96,31,0,7.7,ZW,1603165237
316,Saint Anthony,45.02,-93.22,32.0,92,1,3.65,US,1603165238
317,Agüimes,27.91,-15.45,73.0,83,20,10.29,ES,1603165238
318,Husavik,66.04,-17.34,30.2,86,80,4.7,IS,1603165238
319,Tura,25.52,90.22,84.9,63,2,3.56,IN,1603165238
320,Don Luan,11.53,106.92,82.2,79,100,5.93,VN,1603165159
321,Am Timan,11.03,20.28,72.61,53,24,3.69,TD,1603165239
322,Vila do Maio,15.13,-23.22,78.8,69,46,8.05,CV,1603165239
323,Launceston,-41.45,147.17,63.0,58,1,16.11,AU,1603165239
324,Dorogobuzh,54.91,33.3,36.28,86,56,14.14,RU,1603165239
325,Letterkenny,54.95,-7.73,51.91,92,100,10.92,IE,1603165239
326,Taquarituba,-23.53,-49.24,64.8,94,93,8.66,BR,1603165239
327,Moussoro,13.64,16.49,84.16,15,0,8.05,TD,1603165240
328,Mosetse,-20.75,26.65,71.96,22,0,7.65,BW,1603165240
329,Camacha,33.08,-16.33,69.8,88,75,23.04,PT,1603165240
330,Sept-Îles,50.2,-66.38,41.0,100,90,4.7,CA,1603165109
331,Aykhal,66.0,111.5,19.4,92,90,2.24,RU,1603165240
332,Riyadh,24.69,46.72,59.0,38,0,2.24,SA,1603165188
333,Ketchikan,55.34,-131.65,46.4,93,20,5.82,US,1603165241
334,Cockburn Town,21.46,-71.14,82.02,75,95,10.49,TC,1603165126
335,Fortuna,40.6,-124.16,55.99,100,90,3.36,US,1603165241
336,Lázaro Cárdenas,17.96,-102.2,79.86,87,34,2.68,MX,1603165241
337,Yangi Marg`ilon,40.43,71.72,57.2,25,0,4.7,UZ,1603165242
338,Pangnirtung,66.15,-65.71,23.02,91,96,6.08,CA,1603165242
339,Rawson,-43.3,-65.1,50.68,47,0,8.68,AR,1603165242
340,Belmonte,-15.86,-38.88,71.6,83,40,5.82,BR,1603164982
341,Necochea,-38.55,-58.74,50.0,68,0,4.0,AR,1603165242
342,Grand Gaube,-20.01,57.66,77.0,69,0,11.01,MU,1603165164
343,Tupiza,-21.45,-65.72,58.5,47,0,6.51,BO,1603165243
344,Assiut,27.18,31.18,69.8,64,0,6.93,EG,1603165243
345,Praia da Vitória,38.73,-27.07,60.8,82,20,25.46,PT,1603165243
346,Rio Grande,-32.03,-52.1,69.01,93,3,1.01,BR,1603165243
347,Alto Araguaia,-17.31,-53.22,68.99,86,97,3.65,BR,1603165243
348,Quatre Cocos,-20.21,57.76,77.0,78,40,11.41,MU,1603165244
349,Panlaitan,12.12,119.85,83.91,72,100,1.41,PH,1603165244
350,Kisangani,0.52,25.2,69.01,98,97,1.52,CD,1603165244
351,Nouadhibou,20.93,-17.03,78.8,54,30,13.87,MR,1603165244
352,Roald,62.58,6.13,41.0,56,73,11.41,NO,1603165243
353,Laguna,38.42,-121.42,72.0,43,1,4.27,US,1603165245
354,Kurduvādi,18.08,75.43,81.14,73,100,10.42,IN,1603165245
355,Morondava,-20.28,44.28,75.31,62,0,5.41,MG,1603165245
356,San Martín,-33.08,-68.47,66.2,29,0,4.7,AR,1603164948
357,Jumla,29.27,82.18,65.44,26,0,2.93,NP,1603165245
358,Manta,-0.95,-80.73,73.4,78,75,8.05,EC,1603164982
359,Ambilobe,-13.2,49.05,81.01,48,2,1.7,MG,1603165220
360,Berezovyy,51.67,135.7,43.09,53,2,5.82,RU,1603165246
361,Ubari,26.59,12.78,63.09,69,19,16.64,LY,1603165174
362,Åmot,59.57,7.99,33.01,93,100,2.8,NO,1603165246
363,Torrijos,39.98,-4.28,64.4,45,100,5.82,ES,1603165247
364,Marrakesh,31.63,-8.01,64.4,52,38,4.7,MA,1603165247
365,Kokopo,-4.35,152.26,82.47,76,93,2.93,PG,1603165247
366,Bolobo,-2.17,16.23,70.95,92,93,1.88,CD,1603165247
367,Chicama,-7.84,-79.15,63.07,80,31,4.41,PE,1603165193
368,Onega,63.91,38.14,31.41,97,100,9.44,RU,1603165248
369,Hong Kong,22.29,114.16,79.0,64,0,1.99,HK,1603165238
370,Shimoda,34.67,138.95,66.2,63,75,19.46,JP,1603165248
371,El Salvador,13.83,-88.92,73.4,100,75,3.36,SV,1603165061
372,Jaranwala,31.33,73.43,82.6,14,0,5.61,PK,1603165249
373,Chapais,49.78,-74.85,28.4,92,75,2.24,CA,1603165250
